target,source,layer,horizon,future_step,future_step_1based,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
future_uv,denoise_step=003,12,8.0,1,2,test,0.032786738918033694,0.032786738918033694,0.17864306329693608,0.1461676602130351,41.30776048743206,0.44099379079435674
future_uv,denoise_step=003,12,16.0,3,4,val,0.021127002132011623,0.021127002132011623,0.1261326841984061,0.09588932256353856,27.239102260576306,0.37456446117640374
future_uv,denoise_step=003,12,16.0,3,4,test,0.026813513192485084,0.026813513192485084,0.16371276113927735,0.13326315831693802,37.683756076030846,0.3995859170058746
future_uv,denoise_step=003,12,24.0,5,6,val,0.01881854294536421,0.01881854294536421,0.11858998851701358,0.08961669316690558,25.652592476236695,0.3344947735191638
future_uv,denoise_step=003,12,24.0,5,6,test,0.031244752192040655,0.031244752192040655,0.17641514277482873,0.14650092920284588,40.82148399905882,0.364389237286388
future_uv,denoise_step=003,12,36.0,8,9,val,0.0161821805979109,0.0161821805979109,0.10796118332949249,0.08188204238846743,23.50140984299291,0.2421602773957136
future_uv,denoise_step=003,12,36.0,8,9,test,0.020498916317803272,0.020498916317803272,0.14081581797659026,0.11225653703538527,31.140319737341585,0.26915113939508395
future_uv,denoise_step=003,12,45.0,10,11,val,0.01817512469372683,0.01817512469372683,0.1151492454968263,0.08813584920421294,25.29703819460985,0.18292682989133774
future_uv,denoise_step=003,12,45.0,10,11,test,0.025479159620638712,0.025479159620638712,0.15804377327794614,0.13170350310595139,36.62692141483536,0.2256728760574175
future_uv,denoise_step=003,16,8.0,1,2,val,0.020691828062361955,0.020691828062361955,0.12622350667204177,0.09762883131823889,27.740523202078684,0.4216027868334009
future_uv,denoise_step=003,16,8.0,1,2,test,0.038807843296979526,0.038807843296979526,0.19403801580763752,0.1612360393532068,45.72751555038042,0.44099379079435674
future_uv,denoise_step=003,16,16.0,3,4,val,0.021684125059313476,0.021684125059313476,0.1269167381815794,0.09683968970480697,27.475417851571006,0.37456446117640374
future_uv,denoise_step=003,16,16.0,3,4,test,0.032012537279885504,0.032012537279885504,0.1764597150171272,0.1467735169775491,41.4267114042989,0.3995859170058746
future_uv,denoise_step=003,16,24.0,5,6,val,0.01799759885315696,0.01799759885315696,0.11551892560118167,0.0912973619088894,25.85310484723347,0.3344947735191638
future_uv,denoise_step=003,16,24.0,5,6,test,0.0312301597208957,0.0312301597208957,0.17598790229600902,0.14953332843247408,41.50799306233724,0.364389237286388
future_uv,denoise_step=003,16,36.0,8,9,val,0.016938755399051028,0.016938755399051028,0.1113748797556249,0.08658858661244555,24.900367457692216,0.2421602773957136
future_uv,denoise_step=003,16,36.0,8,9,test,0.028212887506862606,0.028212887506862606,0.1670118214304156,0.13792453706264496,38.38235476791982,0.26915113939508395
future_uv,denoise_step=003,16,45.0,10,11,val,0.01746293024942019,0.01746293024942019,0.11219295173987279,0.08460704509804888,24.38436843127739,0.18292682989133774
future_uv,denoise_step=003,16,45.0,10,11,test,0.021274898185801555,0.021274898185801555,0.14473257891016222,0.11879967455414758,32.52675206123178,0.2256728760574175
future_uv,denoise_step=003,20,8.0,1,2,val,0.019503071891202328,0.019503071891202328,0.12261262022036709,0.09456166033130074,26.904906708189003,0.4216027868334009
future_uv,denoise_step=003,20,8.0,1,2,test,0.03857199081815548,0.03857199081815548,0.19338766585719264,0.1613045083378166,45.35374913501937,0.44099379079435674
future_uv,denoise_step=003,20,16.0,3,4,val,0.023759335123703453,0.023759335123703453,0.13231082307337053,0.10276247573958042,29.247916975918546,0.37456446117640374
future_uv,denoise_step=003,20,16.0,3,4,test,0.0334723502490091,0.0334723502490091,0.18116734264800266,0.14913121896254103,41.923891261004016,0.3995859170058746
future_uv,denoise_step=003,20,24.0,5,6,val,0.017956648898093543,0.017956648898093543,0.11608191545832032,0.09073009484736347,25.755753095141685,0.3344947735191638
future_uv,denoise_step=003,20,24.0,5,6,test,0.03204173654101897,0.03204173654101897,0.178681975319272,0.14977957462548716,41.856939501397115,0.364389237286388
future_uv,denoise_step=003,20,36.0,8,9,val,0.016417046223575645,0.016417046223575645,0.10904925459353351,0.08478521693251274,24.16745735460873,0.2421602773957136
future_uv,denoise_step=003,20,36.0,8,9,test,0.026930377380941718,0.026930377380941718,0.16270678652369458,0.13028464875112655,36.03698587516327,0.26915113939508395
future_uv,denoise_step=003,20,45.0,10,11,val,0.019229270057032333,0.019229270057032333,0.11764828679038257,0.0909608307096601,25.9919519191835,0.18292682989133774
future_uv,denoise_step=003,20,45.0,10,11,test,0.021393587959324844,0.021393587959324844,0.1449670609294998,0.12065421220678721,33.23667261664665,0.2256728760574175
future_uv,denoise_step=003,24,8.0,1,2,val,0.019416488006139883,0.019416488006139883,0.12218534214363697,0.09538970929197318,27.049271228006077,0.4216027868334009
